id,prediction
3,4
6,4
9,4
11,3
12,4
14,4
15,4
16,3
18,4
19,4
21,4
22,3
23,4
24,4
25,4
26,2
27,2
29,3
30,4
33,4
34,3
36,4
37,4
38,4
39,4
40,4
41,4
42,1
43,4
44,4
45,3
47,1
48,4
49,4
50,3
51,4
53,3
55,4
57,4
60,2
61,3
62,3
67,1
68,3
69,3
70,2
75,3
76,4
77,2
78,4
79,4
81,4
82,4
84,4
85,3
86,4
87,4
92,4
93,3
95,4
96,4
97,4
99,4
100,3
101,2
102,4
104,4
106,3
107,4
111,4
114,1
116,4
117,4
118,3
120,1
121,3
123,4
125,2
127,3
128,4
129,4
130,2
131,4
132,2
133,4
134,4
137,4
138,4
139,4
140,3
141,3
142,4
144,4
146,3
147,4
148,4
149,4
150,4
152,2
153,4
154,4
155,3
156,4
157,2
158,3
159,4
160,4
162,4
163,4
165,4
166,4
167,4
168,4
169,2
170,2
174,4
175,2
177,4
178,4
179,2
180,2
182,4
184,4
185,2
186,4
187,4
188,4
190,4
191,3
192,4
193,3
196,3
198,4
202,4
203,4
205,4
206,4
207,4
208,4
209,3
210,4
212,4
213,4
216,3
219,4
222,4
223,4
224,2
225,4
226,4
227,3
229,4
231,2
233,3
234,4
235,2
236,3
237,4
238,4
239,4
240,4
242,4
244,4
246,4
250,3
251,2
254,4
255,4
256,1
257,4
258,3
259,4
260,4
261,4
262,3
263,4
264,3
267,4
270,4
272,3
273,4
274,4
277,4
278,4
280,1
282,3
283,4
284,4
285,3
286,3
287,3
288,4
291,4
292,4
293,2
294,3
297,3
298,4
301,1
303,4
304,3
306,3
308,2
309,4
310,3
311,4
312,4
313,4
314,4
315,4
316,4
317,4
318,2
319,1
320,4
324,3
325,4
326,2
327,2
328,3
329,4
330,4
331,3
332,4
333,3
335,3
337,1
340,4
342,3
343,2
345,4
347,4
349,3
350,3
351,4
352,4
353,3
354,3
355,4
356,4
357,4
359,2
360,1
361,4
362,2
363,4
365,4
368,4
369,4
370,4
373,3
375,4
376,4
377,4
378,4
379,3
380,4
382,3
383,4
384,4
385,3
386,4
387,4
390,4
391,4
394,2
395,3
397,2
400,4
401,1
402,4
403,4
404,3
405,2
407,4
408,4
409,2
410,3
411,4
413,4
416,4
417,3
419,3
420,3
421,4
423,4
426,4
427,3
429,4
430,4
431,3
432,4
433,3
434,3
436,4
439,1
441,3
443,4
445,4
446,4
447,4
448,3
450,4
452,4
453,2
454,3
455,4
456,4
457,3
458,4
462,4
463,2
464,4
465,4
466,4
467,1
469,3
470,4
471,4
474,4
475,4
477,3
478,4
479,4
480,4
481,4
482,2
483,4
484,2
485,4
486,3
488,4
489,1
490,4
491,4
492,4
493,4
494,4
496,4
497,4
498,4
500,3
501,4
505,4
506,4
508,4
509,4
510,4
511,4
514,4
515,4
516,3
517,3
519,4
520,4
521,2
523,4
525,4
526,3
527,3
528,4
529,2
531,4
532,3
533,4
534,4
536,4
537,4
538,4
542,4
543,4
545,4
546,4
547,2
549,2
550,3
553,4
554,4
555,2
557,3
559,4
560,4
561,4
562,3
565,4
566,4
568,4
569,4
570,3
571,4
572,1
575,3
576,4
579,4
580,4
582,4
583,2
585,4
586,3
589,4
590,4
591,4
593,4
594,3
595,4
597,2
598,4
599,4
600,4
601,4
602,3
604,4
606,2
608,4
609,4
610,4
612,2
614,3
615,4
616,4
617,4
618,4
619,4
620,4
621,4
624,4
627,4
628,3
629,4
630,4
634,4
637,4
638,4
639,4
640,4
641,3
642,3
643,4
644,4
645,3
646,3
648,4
649,4
650,3
651,4
652,4
654,3
655,3
656,4
658,4
659,4
660,1
661,4
666,4
667,4
668,4
669,4
670,3
671,4
675,4
677,4
679,4
680,4
681,3
682,4
683,4
684,4
685,4
686,4
690,4
692,4
693,4
694,4
696,4
699,4
700,4
701,2
702,1
704,3
706,4
707,3
708,3
709,3
712,3
713,4
714,4
715,4
716,3
717,4
718,4
719,4
720,3
721,4
722,4
724,4
727,4
728,4
729,4
731,4
733,4
734,4
735,4
736,4
737,4
738,2
739,4
741,4
742,2
744,4
745,4
746,4
748,4
749,4
752,4
753,3
754,4
756,1
757,4
758,4
759,4
760,4
761,4
764,4
765,4
768,4
769,4
770,4
772,4
774,3
775,4
776,4
777,4
778,4
781,4
782,4
783,4
785,4
786,4
788,4
789,2
790,4
791,4
792,2
794,4
795,3
796,4
797,4
798,2
800,4
801,4
802,4
803,4
804,4
805,3
806,4
807,4
808,4
809,3
812,3
813,4
814,4
815,4
817,4
819,4
820,3
822,4
825,4
826,2
827,4
828,4
830,3
832,4
833,4
834,2
836,3
837,4
839,4
841,4
843,2
846,3
847,4
848,4
849,3
850,4
851,4
852,4
853,4
855,2
858,4
859,4
861,4
862,3
864,4
866,4
868,4
870,4
872,4
873,3
874,4
875,4
877,4
879,4
880,3
882,4
883,4
884,4
885,3
888,3
889,4
891,2
893,4
894,3
895,4
896,4
897,4
899,4
901,3
903,4
904,4
905,2
909,4
910,2
911,3
912,4
914,4
917,4
918,2
919,4
920,4
921,4
922,4
926,3
927,2
929,4
931,4
933,3
934,4
936,4
937,4
938,4
939,4
940,2
941,4
942,4
943,4
945,4
946,3
948,4
950,4
952,4
953,4
955,4
956,4
959,4
960,4
961,2
962,4
964,4
967,4
968,2
969,4
971,2
972,4
974,3
975,3
976,4
978,3
980,4
981,3
982,4
983,2
984,4
985,3
986,4
987,4
988,3
990,4
991,4
992,3
994,3
995,3
996,4
999,4
1000,4
1001,4
1002,4
1003,4
1005,3
1006,4
1007,4
1009,4
1010,4
1012,4
1013,4
1014,4
1015,4
1016,1
1018,4
1019,1
1020,4
1021,4
1022,3
1023,3
1024,4
1027,4
1028,2
1030,4
1031,4
1032,4
1033,3
1034,4
1036,2
1037,4
1038,2
1039,2
1040,4
1042,3
1043,4
1045,4
1046,3
1049,4
1050,4
1051,4
1052,4
1054,4
1055,2
1056,3
1058,1
1059,4
1062,4
1064,4
1065,2
1066,4
1067,3
1068,4
1069,4
1071,2
1074,4
1076,4
1077,4
1079,3
1080,3
1081,2
1082,4
1085,3
1086,4
1087,4
1089,3
1090,4
1091,2
1092,2
1093,4
1094,4
1095,2
1097,3
1098,3
1099,3
1100,3
1102,4
1103,4
1104,4
1106,2
1107,4
1108,4
1109,4
1110,3
1112,4
1113,4
1114,4
1115,4
1116,4
1117,4
1118,4
1119,1
1122,3
1123,4
1124,4
1125,3
1126,3
1128,2
1129,2
1130,4
1132,3
1135,3
1138,4
1139,1
1140,4
1141,4
1142,4
1143,3
1144,3
1146,4
1147,4
1148,4
1149,4
1151,3
1155,4
1156,4
1159,3
1160,3
1161,2
1163,4
1165,2
1166,3
1167,3
1169,4
1170,4
1173,4
1180,3
1181,4
1182,2
1183,2
1184,4
1185,4
1186,4
1187,3
1188,3
1189,1
1190,3
1193,4
1195,2
1196,4
1197,3
1198,3
1199,4
1200,4
1201,4
1203,4
1204,3
1205,4
1206,4
1208,4
1210,3
1211,4
1212,4
1213,2
1214,3
1216,2
1217,3
1218,3
1220,3
1222,3
1224,4
1225,4
1226,4
1227,3
1228,4
1229,4
1230,1
1231,4
1232,4
1234,4
1235,2
1236,2
1238,3
1239,4
1241,4
1242,4
1243,4
1244,4
1245,4
1247,4
1248,4
1251,4
1252,4
1253,4
1254,4
1255,4
1257,4
1258,4
1260,4
1262,1
1263,2
1264,4
1265,4
1266,4
1267,4
1269,3
1270,4
1271,4
1275,1
1276,4
1278,4
1279,3
1280,4
1281,4
1282,4
1283,4
1284,4
1286,3
1287,1
1289,4
1292,4
1295,4
1297,4
1298,4
1299,4
1300,3
1301,3
1302,4
1303,4
1305,4
1309,4
1310,4
1311,4
1312,4
1313,4
1316,4
1318,4
1320,4
1321,4
1322,3
1326,4
1327,2
1329,3
1330,4
1331,4
1333,3
1336,4
1337,2
1339,4
1340,4
1341,4
1342,4
1343,4
1346,3
1347,3
1348,3
1349,3
1350,3
1351,4
1352,4
1355,4
1356,4
1357,4
1359,4
1362,4
1364,4
1365,4
1368,4
1369,4
1372,4
1373,3
1376,4
1377,4
1380,4
1381,4
1383,2
1384,4
1385,4
1386,4
1390,3
1391,4
1392,4
1393,4
1394,4
1395,3
1396,4
1397,4
1399,3
1401,4
1402,3
1403,4
1404,4
1405,4
1409,4
1410,3
1411,3
1412,4
1413,4
1414,4
1415,4
1416,4
1418,4
1419,4
1421,4
1422,4
1423,4
1424,4
1425,3
1426,1
1427,4
1428,2
1429,2
1432,4
1433,1
1434,4
1436,4
1438,4
1439,4
1440,4
1441,2
1442,4
1443,4
1445,2
1447,4
1448,4
1449,4
1452,4
1453,4
1454,4
1455,4
1457,4
1458,4
1459,4
1460,4
1464,4
1466,4
1468,4
1469,4
1470,4
1471,4
1473,4
1474,4
1475,1
1480,4
1481,2
1482,4
1485,3
1486,4
1488,3
1490,4
1491,3
1494,3
1497,4
1498,1
1499,4
1500,4
1503,3
1504,4
1505,4
1506,4
1507,2
1508,4
1510,4
1511,4
1512,4
1513,4
1515,4
1516,3
1518,4
1519,4
1520,4
1523,4
1524,2
1526,4
1527,4
1529,4
1530,4
1531,4
1532,4
1533,4
1534,4
1535,2
1536,4
1538,4
1539,4
1540,4
1542,3
1544,4
1546,4
1548,4
1550,4
1551,4
1552,3
1553,4
1555,4
1556,2
1557,4
1559,4
1560,4
1561,4
