State,2013,2010,2004,2000,1990
Alabama,4833732,4779735,4530182,4447100,4040587
Alaska,735132,710231,655435,626932,550043
Arizona,6626624,6329013,5743834,5130632,3665228
Arkansas,2959373,2915921,2752629,2673400,2350725
California,38332521,37253956,35893799,33871648,29760021
Colorado,5268367,5029196,4601403,4301261,3294394
Connecticut,3596080,3574097,3503604,3405565,3287116
Delaware,925749,897934,830364,783600,666168
DC,646449,601723,553523,572059,606900
Florida,19552860,18801311,17397161,15982378,12937926
Georgia,9992167,9687653,8829383,8186453,6478216
Hawaii,1404054,1360301,1262840,1211537,1108229
Idaho,1612136,1567582,1393262,1293953,1006749
Illinois,12882135,12830632,12713634,12419293,11430602
Indiana,6570902,6483800,6237569,6080485,5544159
Iowa,3090416,3046350,2954451,2926324,2776755
Kansas,2893957,2853118,2735502,2688418,2477574
Kentucky,4395295,4339362,4145922,4041769,3685296
Louisiana,4625470,4533372,4515770,4468976,4219973
Maine,1328302,1328361,1317253,1274923,1227928
Maryland,5928814,5773552,5558058,5296486,4781468
Massachusetts,6692824,6547629,6416505,6349097,6016425
Michigan,9895622,9883635,10112620,9938444,9295297
Minnesota,5420380,5303925,5100958,4919479,4375099
Mississippi,2991207,2967297,2902966,2844658,2573216
Missouri,6044171,5988927,5754618,5595211,5117073
Montana,1015165,989415,926865,902195,799065
Nebraska,1868516,1826341,1747214,1711263,1578385
Nevada,2790136,2700551,2334771,1998257,1201833
New Hampshire,1323459,1316472,1299500,1235786,1109252
New Jersey,8899339,8791894,8698879,8414350,7730188
New Mexico,2085287,2059180,1903289,1819046,1515069
New York,19651127,19378104,19227088,18976457,17990455
North Carolina,9848060,9535475,8541221,8049313,6628637
North Dakota,723393,672591,634366,642200,638800
Ohio,11570808,11536502,11459011,11353140,10847115
Oklahoma,3850568,3751354,3523553,3450654,3145585
Oregon,3930065,3831074,3594586,3421399,2842321
Pennsylvania,12773801,12702379,12406292,12281054,11881643
Rhode Island,1051511,1052567,1080632,1048319,1003464
South Carolina,4774839,4625364,4198068,4012012,3486703
South Dakota,844877,814180,770883,754844,696004
Tennessee,6495978,6346110,5900962,5689283,4877185
Texas,26448193,25145561,22490022,20851820,16986510
Utah,2900872,2763885,2389039,2233169,1722850
Vermont,626630,625741,621394,608827,562758
Virginia,8260405,8001024,7459827,7078515,6187358
Washington,6971406,6724540,6203788,5894121,4866692
West Virginia,1854304,1852996,1815354,1808344,1793477
Wisconsin,5742713,5686986,5509026,5363675,4891769
Wyoming,582658,563626,506529,493782,453588
